job_id,job_title,job_category,company,city,experience,exp_min,exp_max,exp_bucket,skills,skill_count,posted_date,job_url,scraped_at
1e9241c46f4d,"Senior System Software Engineer, Cloud Gaming",Other,Nvidia,Pune,0-5 Yrs,0.0,5.0,0-2 Years (Fresher),R,1,2 weeks ago,https://www.naukri.com/job-listings-senior-system-software-engineer-cloud-gaming-nvidia-pune-0-to-5-years-180526504300,2026-06-03T20:43:14.466256
ce293edf13f5,"Senior Engineer, Machine Learning Engineering-2",ML Engineer,Mastercard,Pune,7-11 Yrs,7.0,11.0,6-10 Years (Senior),Machine Learning | Data Engineering | Compliance | Diagnostics | Use Cases | Machine Learning Engineering | Feature Engineering | Ai,8,2 weeks ago,https://www.naukri.com/job-listings-senior-engineer-machine-learning-engineering-2-mastercard-india-services-private-limited-pune-7-to-11-years-200526937490,2026-06-03T20:43:14.471588
42118151e554,Machine Learning Engineer,ML Engineer,Cognizant,Pune,8-13 Yrs,8.0,13.0,6-10 Years (Senior),Etl Pipelines | MLOps | Machine Learning | Python | SQL | Etl | Pipeline | Machine,8,2 weeks ago,https://www.naukri.com/job-listings-machine-learning-engineer-cognizant-hyderabad-pune-8-to-13-years-150526032633,2026-06-03T20:43:14.474819
c74c5cf8c577,Deep learning Engineer,Deep Learning Engineer,Stark Industries,Mumbai,2-4 Yrs,2.0,4.0,0-2 Years (Fresher),Deep Learning | Side | Machine Learning | Infrastructure | Testing | Machine | Software Testing,7,3+ weeks ago,https://www.naukri.com/job-listings-deep-learning-engineer-stark-industries-mumbai-2-to-4-years-041220500028,2026-06-03T20:43:26.938558
d4472b9e401e,Software Engineer - Python+ Machine Learning Engineer,ML Engineer,Gebbs Healthcare Solutions,Mumbai,2-7 Yrs,2.0,7.0,0-2 Years (Fresher),Version Control | Sql Database | Analytical | Machine Learning | Cloud | Deployment | NLP | AWS,8,3+ weeks ago,https://www.naukri.com/job-listings-software-engineer-python-machine-learning-engineer-gebbs-healthcare-solutions-pvt-ltd-mumbai-2-to-7-years-300725504220,2026-06-03T20:43:26.963466
f432396cd793,Machine Learning Engineer,ML Engineer,Nugen Intelligence,Mumbai,0-2 Yrs,0.0,2.0,0-2 Years (Fresher),Deep Learning | Finance | Debugging | Machine Learning | Legal | Regulatory Compliance | Manager Technology | Healthcare,8,3+ weeks ago,https://www.naukri.com/job-listings-machine-learning-engineer-nugen-technologies-mumbai-0-to-2-years-150426503181,2026-06-03T20:43:26.966967
937a54756a52,Machine Learning Engineer,ML Engineer,Prodigal,Mumbai,0-5 Yrs,0.0,5.0,0-2 Years (Fresher),Health Insurance | Data Analysis | Data Science | Consumer Finance | Machine Learning | Data Visualization | SQL | Python,8,3+ weeks ago,https://www.naukri.com/job-listings-machine-learning-engineer-prodigal-mumbai-0-to-5-years-180924502642,2026-06-03T20:43:26.968228
9081de88bea0,AI Software Engineer,Data Scientist,Godigi Infotech,Mumbai,0-1 Yrs,0.0,1.0,0-2 Years (Fresher),Analytical Skills | C++ | Artificial Intelligence | Machine Learning | Programming | Javascript | Php | Matlab,8,2 weeks ago,https://www.naukri.com/job-listings-ai-software-engineer-godigi-infotech-mumbai-0-to-1-years-100524500130,2026-06-03T20:43:26.970227
f866719dab81,Associate Machine Learning Engineer,ML Engineer,Capgemini,Mumbai,2-5 Yrs,2.0,5.0,0-2 Years (Fresher),Machine Learning | Software Development | Data Structures | Problem Solving | Computational Analysis | Programming Logic | Software | Development,8,2 weeks ago,https://www.naukri.com/job-listings-associate-machine-learning-engineer-capgemini-technology-services-india-limited-mumbai-2-to-5-years-150526921455,2026-06-03T20:43:26.973227
d46b1b3e5389,Senior Machine Learning Engineer,ML Engineer,Taffi,Mumbai,7-12 Yrs,7.0,12.0,6-10 Years (Senior),Training | Deep Learning | Analytical | Machine Learning | Data Collection | Deployment | Data Quality | Hardware,8,3+ weeks ago,https://www.naukri.com/job-listings-senior-machine-learning-engineer-taffi-inc-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-7-to-12-years-080424501215,2026-06-03T20:43:26.975227
